,Month,Year,Category,ProvidedValue,Country
11110,1,2017,Fossil_Hard_coal,12408.65,DE
11111,1,2017,Fossil_Oil,697.3,DE
11112,1,2017,Fossil_Oil_shale,,DE
11113,1,2017,Fossil_Peat,,DE
11114,1,2017,Geothermal,15.78,DE
11115,1,2017,Hydro_Pure_pumped_Storage,638.11,DE
11116,1,2017,Hydro_RunOfRiver_and_poundage,920.98,DE
11117,1,2017,Hydro_Pure_storage,32.14,DE
11118,1,2017,Hydro_Marine,,DE
11119,1,2017,Nuclear,5702.86,DE
11120,1,2017,Other_renewable,120.46,DE
11121,1,2017,Wind_offshore,1230.48,DE
11122,1,2017,Wind_onshore,6617.06,DE
11123,1,2017,Non_identified_net_gen,,DE
11124,1,2017,Imports,2756.42,DE
11125,1,2017,Exports,7900.88,DE
11126,1,2017,Biogas,,DE
11127,1,2017,Fossil_Mixed_fuels,398.84,DE
11128,1,2017,Fossil_Other,,DE
11129,1,2017,Hydro_Mixed_pumped_storage_non_renewable,23.59,DE
11130,1,2017,Hydro_Mixed_pumped_storage_renewable,,DE
11131,1,2017,Other_non_renewable,,DE
11132,1,2017,Solar_PV,760.2,DE
11133,1,2017,Solar_Thermal,,DE
11134,1,2017,Waste_non_renewable,398.49,DE
11135,1,2017,Waste_renewable,789.33,DE
11136,1,2017,Consumption_of_pumps,831.78,DE
11137,1,2017,Transmission losses,1134.03,DE
11138,2,2017,Biomass,3268.05,DE
11139,2,2017,Fossil_Brown_coal_Lignite,11119.01,DE
11140,2,2017,Fossil_Coal_derived_gas,,DE
11141,2,2017,Fossil_Gas,8490.02,DE
11142,2,2017,Fossil_Hard_coal,9129.94,DE
11143,2,2017,Fossil_Oil,329.52,DE
11144,2,2017,Fossil_Oil_shale,,DE
11145,2,2017,Fossil_Peat,,DE
11146,2,2017,Geothermal,14.38,DE
11147,2,2017,Hydro_Pure_pumped_Storage,480.67,DE
11148,2,2017,Hydro_RunOfRiver_and_poundage,1248.29,DE
11149,2,2017,Hydro_Pure_storage,25.04,DE
11150,2,2017,Hydro_Marine,,DE
11151,2,2017,Nuclear,4537.32,DE
11152,2,2017,Other_renewable,112.68,DE
11153,2,2017,Wind_offshore,1899.35,DE
11154,2,2017,Wind_onshore,8070.04,DE
11155,2,2017,Non_identified_net_gen,,DE
11156,2,2017,Imports,2713.91,DE
11157,2,2017,Exports,7844.49,DE
11158,2,2017,Biogas,,DE
11159,2,2017,Fossil_Mixed_fuels,357.5,DE
11160,2,2017,Fossil_Other,,DE
11161,2,2017,Hydro_Mixed_pumped_storage_non_renewable,41.76,DE
11162,2,2017,Hydro_Mixed_pumped_storage_renewable,,DE
11163,2,2017,Other_non_renewable,,DE
11164,2,2017,Solar_PV,1467.76,DE
11165,2,2017,Solar_Thermal,,DE
11166,2,2017,Waste_non_renewable,387.39,DE
11167,2,2017,Waste_renewable,387.39,DE
11168,2,2017,Consumption_of_pumps,727.51,DE
11169,2,2017,Transmission losses,1018.85,DE
11170,3,2017,Biomass,3492.52,DE
11171,3,2017,Fossil_Brown_coal_Lignite,12247.89,DE
11172,3,2017,Fossil_Coal_derived_gas,,DE
11173,3,2017,Fossil_Gas,7631.51,DE
11174,3,2017,Fossil_Hard_coal,7664.8,DE
11175,3,2017,Fossil_Oil,393.15,DE
11176,3,2017,Fossil_Oil_shale,,DE
11177,3,2017,Fossil_Peat,,DE
11178,3,2017,Geothermal,13.4,DE
11179,3,2017,Hydro_Pure_pumped_Storage,491.71,DE
11180,3,2017,Hydro_RunOfRiver_and_poundage,1780.96,DE
11181,3,2017,Hydro_Pure_storage,46.28,DE
11182,3,2017,Hydro_Marine,,DE
11183,3,2017,Nuclear,4836.6,DE
11184,3,2017,Other_renewable,123.45,DE
11185,3,2017,Wind_offshore,1486.95,DE
11186,3,2017,Wind_onshore,7788.53,DE
11187,3,2017,Non_identified_net_gen,,DE
11188,3,2017,Imports,2918.3,DE
11189,3,2017,Exports,7332.56,DE
11190,3,2017,Biogas,,DE
11191,3,2017,Fossil_Mixed_fuels,405.01,DE
11192,3,2017,Fossil_Other,,DE
11193,3,2017,Hydro_Mixed_pumped_storage_non_renewable,85.1,DE
11194,3,2017,Hydro_Mixed_pumped_storage_renewable,,DE
11195,3,2017,Other_non_renewable,,DE
11196,3,2017,Solar_PV,3207.07,DE
11197,3,2017,Solar_Thermal,,DE
11198,3,2017,Waste_non_renewable,418.46,DE
11199,3,2017,Waste_renewable,418.46,DE
11200,3,2017,Consumption_of_pumps,732.21,DE
11201,3,2017,Transmission losses,810.05,DE
11202,4,2017,Biomass,3390.41,DE
11203,4,2017,Fossil_Brown_coal_Lignite,11531.92,DE
11204,4,2017,Fossil_Coal_derived_gas,,DE
11205,4,2017,Fossil_Gas,6012.78,DE
11206,4,2017,Fossil_Hard_coal,6102.8,DE
11207,4,2017,Fossil_Oil,313.07,DE
11208,4,2017,Fossil_Oil_shale,,DE
11209,4,2017,Fossil_Peat,,DE
11210,4,2017,Geothermal,13.99,DE
11211,4,2017,Hydro_Pure_pumped_Storage,499.78,DE
11212,4,2017,Hydro_RunOfRiver_and_poundage,1416.74,DE
11213,4,2017,Hydro_Pure_storage,40.24,DE
11214,4,2017,Hydro_Marine,,DE
11215,4,2017,Nuclear,4754.3,DE
11216,4,2017,Other_renewable,114.96,DE
11217,4,2017,Wind_offshore,1395.71,DE
11218,4,2017,Wind_onshore,6750.09,DE
11219,4,2017,Non_identified_net_gen,,DE
11220,4,2017,Imports,2363.78,DE
11221,4,2017,Exports,6355.8,DE
11222,4,2017,Biogas,,DE
11223,4,2017,Fossil_Mixed_fuels,338.77,DE
11224,4,2017,Fossil_Other,,DE
11225,4,2017,Hydro_Mixed_pumped_storage_non_renewable,27.29,DE
11226,4,2017,Hydro_Mixed_pumped_storage_renewable,,DE
11227,4,2017,Other_non_renewable,,DE
11228,4,2017,Solar_PV,3864.4,DE
11229,4,2017,Solar_Thermal,,DE
11230,4,2017,Waste_non_renewable,424.87,DE
11231,4,2017,Waste_renewable,424.87,DE
11232,4,2017,Consumption_of_pumps,694.99,DE
11233,4,2017,Transmission losses,748.59,DE
11234,5,2017,Biomass,3405.49,DE
11235,5,2017,Fossil_Brown_coal_Lignite,11591.99,DE
11236,5,2017,Fossil_Coal_derived_gas,,DE
